epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.553,1.59153,2.46451,1.47548,0.92272,0.07548,0.32045,0.16686,1.60669,2.97816,1.4094,0.000650794,0.000650794,0.000650794
2,620.009,1.51913,1.87641,1.40907,0.42806,0.26322,0.26458,0.12383,1.70458,2.75807,1.65657,0.00129137,0.00129137,0.00129137
3,980.706,1.5884,1.81484,1.45134,0.43128,0.34425,0.31917,0.16002,1.81217,2.43471,1.73906,0.00190556,0.00190556,0.00190556
4,1347.5,1.56247,1.72361,1.46344,0.43948,0.35632,0.32667,0.15683,1.87926,2.81393,1.85309,0.0018812,0.0018812,0.0018812
5,1720.34,1.53817,1.6497,1.45463,0.47546,0.33161,0.32233,0.17211,1.79511,2.66268,1.65039,0.0018416,0.0018416,0.0018416
6,2076.7,1.50785,1.58112,1.44169,0.58302,0.54598,0.57142,0.30972,1.56056,1.90706,1.53676,0.001802,0.001802,0.001802
7,2435.27,1.52151,1.55656,1.44605,0.651,0.60862,0.65573,0.36459,1.46117,1.53651,1.40483,0.0017624,0.0017624,0.0017624
8,2789.59,1.4453,1.4625,1.38964,0.71952,0.60517,0.69318,0.39095,1.44358,1.42941,1.38694,0.0017228,0.0017228,0.0017228
9,3138.21,1.47652,1.39626,1.39479,0.63457,0.57299,0.62792,0.35695,1.44743,1.71177,1.39643,0.0016832,0.0016832,0.0016832
10,3489.63,1.42063,1.36108,1.35607,0.71205,0.64662,0.71941,0.43198,1.34671,1.38841,1.31116,0.0016436,0.0016436,0.0016436
11,3847.61,1.39285,1.31333,1.33612,0.73541,0.59195,0.69127,0.40385,1.40389,1.35138,1.37291,0.001604,0.001604,0.001604
12,4201.95,1.39505,1.31104,1.34937,0.71274,0.63966,0.71518,0.42498,1.34198,1.60122,1.3185,0.0015644,0.0015644,0.0015644
13,4556.08,1.37455,1.29647,1.32483,0.75125,0.65115,0.74417,0.43865,1.37309,1.31346,1.3295,0.0015248,0.0015248,0.0015248
14,4916.58,1.3448,1.22758,1.31699,0.78357,0.69655,0.79274,0.49978,1.26121,1.16664,1.24747,0.0014852,0.0014852,0.0014852
15,5286.34,1.35661,1.20753,1.30457,0.79294,0.71149,0.81579,0.51827,1.21289,1.0986,1.2257,0.0014456,0.0014456,0.0014456
16,5646.09,1.33285,1.17099,1.30775,0.78664,0.72043,0.81444,0.52316,1.25372,1.05784,1.23988,0.001406,0.001406,0.001406
17,6011.21,1.32802,1.18553,1.29594,0.80949,0.64425,0.76267,0.47323,1.35017,1.21336,1.32403,0.0013664,0.0013664,0.0013664
18,6372.55,1.33696,1.20056,1.29614,0.81494,0.74138,0.83501,0.54749,1.1677,1.04185,1.20552,0.0013268,0.0013268,0.0013268
19,6733.34,1.26633,1.09169,1.26673,0.80585,0.73473,0.82591,0.53426,1.22209,1.01529,1.24304,0.0012872,0.0012872,0.0012872
20,7091,1.30183,1.13276,1.28967,0.81344,0.72241,0.82213,0.52708,1.19788,1.09107,1.21605,0.0012476,0.0012476,0.0012476
21,7442.86,1.26339,1.07455,1.24945,0.83373,0.7408,0.84918,0.55789,1.19605,0.98549,1.22747,0.001208,0.001208,0.001208
22,7794.79,1.27288,1.07268,1.25346,0.81766,0.71667,0.8259,0.54493,1.15824,1.02468,1.18548,0.0011684,0.0011684,0.0011684
23,8147.1,1.24865,1.0421,1.23074,0.82714,0.78375,0.87763,0.58812,1.13059,0.93719,1.17054,0.0011288,0.0011288,0.0011288
24,8500.34,1.20889,1.03414,1.21973,0.82678,0.78178,0.87338,0.58649,1.13823,0.9868,1.17376,0.0010892,0.0010892,0.0010892
25,8850.37,1.21098,1.04573,1.23769,0.79017,0.73218,0.82205,0.52567,1.1801,1.03717,1.20753,0.0010496,0.0010496,0.0010496
26,9202.13,1.22476,1.01195,1.23141,0.83944,0.78851,0.87387,0.5886,1.13044,0.90705,1.16222,0.00101,0.00101,0.00101
27,9555.3,1.20416,0.96243,1.2025,0.81735,0.7767,0.87195,0.59179,1.11594,0.92108,1.14802,0.0009704,0.0009704,0.0009704
28,9874.53,1.19496,0.98529,1.20585,0.86521,0.77931,0.88571,0.60953,1.08837,0.83952,1.13933,0.0009308,0.0009308,0.0009308
29,10103.9,1.17264,0.97922,1.19949,0.85303,0.77388,0.8853,0.61682,1.07143,0.83264,1.13147,0.0008912,0.0008912,0.0008912
30,10332.6,1.18134,0.9736,1.19766,0.85549,0.80293,0.89643,0.61963,1.05612,0.97373,1.11518,0.0008516,0.0008516,0.0008516
31,10562.2,1.16958,0.91205,1.1981,0.8637,0.81552,0.90439,0.62562,1.0729,0.81758,1.11265,0.000812,0.000812,0.000812
