epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3604,1.79289,4.23003,1.52493,0.07007,0.06646,0.01852,0.01009,1.7466,51.2351,1.83236,0.000661972,0.000661972,0.000661972
2,126.6,2.14558,3.18783,1.89689,0.0026,0.1962,0.00132,0.00055,1.86023,71.2237,1.8269,0.00130672,0.00130672,0.00130672
3,185.779,2.12741,3.22298,1.86663,0.18722,0.10789,0.07798,0.02888,1.58351,26.4045,1.43659,0.00192946,0.00192946,0.00192946
4,245.411,2.13738,3.09467,1.82318,0.31945,0.17405,0.14984,0.07589,1.44518,44.1939,1.36323,0.001901,0.001901,0.001901
5,307.199,2.1141,3.03114,1.84624,0.0119,0.18671,0.00816,0.00363,1.46322,10.1186,1.38813,0.001868,0.001868,0.001868
6,367.946,1.95408,2.76606,1.74012,0.25184,0.21411,0.16879,0.08154,1.34848,14.2461,1.26937,0.001835,0.001835,0.001835
7,427.576,1.93495,2.79584,1.70271,0.20274,0.18671,0.11259,0.06072,1.29783,6.67798,1.19592,0.001802,0.001802,0.001802
8,488.234,1.85963,2.63899,1.65227,0.26713,0.17089,0.12347,0.05748,1.38592,27.3822,1.28625,0.001769,0.001769,0.001769
9,547.81,1.85693,2.67965,1.65055,0.20055,0.23101,0.13554,0.07385,1.18406,9.98919,1.0935,0.001736,0.001736,0.001736
10,608.828,1.8115,2.65092,1.61223,0.30137,0.22468,0.19857,0.09903,1.27917,8.88339,1.18283,0.001703,0.001703,0.001703
11,669.466,1.72128,2.51775,1.58722,0.3484,0.27215,0.21309,0.11258,1.20296,12.5383,1.10054,0.00167,0.00167,0.00167
12,729.952,1.74318,2.49106,1.5851,0.36253,0.26266,0.238,0.13308,1.12726,5.46122,1.07848,0.001637,0.001637,0.001637
13,795.94,1.70704,2.39851,1.56807,0.32304,0.29114,0.2377,0.12923,1.09944,6.10628,1.05523,0.001604,0.001604,0.001604
14,862.222,1.68647,2.40842,1.52814,0.26564,0.27532,0.19826,0.10723,1.13213,15.5699,1.04341,0.001571,0.001571,0.001571
15,927.357,1.70032,2.37542,1.5583,0.26419,0.15823,0.15059,0.08201,1.24248,2.46925,1.15115,0.001538,0.001538,0.001538
16,993.973,1.66116,2.32223,1.52324,0.29955,0.27066,0.23586,0.13196,1.09805,8.05147,1.03613,0.001505,0.001505,0.001505
17,1058.92,1.62243,2.33119,1.49209,0.41858,0.2057,0.21944,0.12181,1.09748,37.0859,1.04283,0.001472,0.001472,0.001472
18,1122.04,1.62285,2.27467,1.53495,0.41236,0.28481,0.28503,0.16656,1.1113,3.86376,1.05513,0.001439,0.001439,0.001439
19,1183.31,1.55838,2.46588,1.43279,0.31202,0.32595,0.24149,0.14828,1.01583,19.2431,0.99259,0.001406,0.001406,0.001406
20,1243.84,1.59101,2.24238,1.49411,0.40117,0.31646,0.32318,0.19775,1.05371,2.31581,1.02983,0.001373,0.001373,0.001373
21,1306.12,1.56215,2.18672,1.46807,0.45642,0.2046,0.23931,0.14483,1.01956,36.734,1.00305,0.00134,0.00134,0.00134
22,1366.68,1.558,2.22688,1.45675,0.32006,0.33544,0.2907,0.17977,1.02254,18.4904,1.01462,0.001307,0.001307,0.001307
23,1428.49,1.52615,2.27984,1.45026,0.40261,0.28797,0.32143,0.19671,0.95516,16.5646,0.97514,0.001274,0.001274,0.001274
24,1489.18,1.50666,2.10067,1.42008,0.4109,0.2943,0.33399,0.19682,1.04036,9.17731,1.0128,0.001241,0.001241,0.001241
25,1549.06,1.51257,2.17615,1.43591,0.40321,0.33544,0.3516,0.20989,1.02637,2.40608,0.99411,0.001208,0.001208,0.001208
26,1609.19,1.49986,2.00387,1.45761,0.53381,0.28797,0.356,0.22124,0.9962,3.0594,0.99244,0.001175,0.001175,0.001175
27,1671.26,1.49333,2.09075,1.44473,0.39742,0.37025,0.34773,0.21543,1.00225,2.80535,1.00668,0.001142,0.001142,0.001142
28,1731.88,1.45109,1.98777,1.40069,0.3647,0.33861,0.34719,0.20403,0.96942,4.16045,0.97571,0.001109,0.001109,0.001109
29,1791.15,1.44267,1.9472,1.39921,0.45368,0.32061,0.36035,0.22379,0.9349,2.69692,0.93261,0.001076,0.001076,0.001076
30,1852.11,1.44851,1.95806,1.35897,0.42035,0.3481,0.38193,0.23663,0.95153,5.15636,0.93937,0.001043,0.001043,0.001043
31,1913.17,1.45561,1.98751,1.40162,0.3594,0.40506,0.3933,0.24545,0.94767,1.5928,0.95005,0.00101,0.00101,0.00101
32,1973.9,1.42171,1.91714,1.39763,0.41356,0.33544,0.37091,0.22042,0.9585,2.93609,0.96292,0.000977,0.000977,0.000977
33,2034.37,1.42274,1.99368,1.38343,0.3929,0.32974,0.36525,0.21577,0.96024,9.33356,0.95194,0.000944,0.000944,0.000944
34,2095.22,1.42101,1.93717,1.39977,0.29053,0.3038,0.28322,0.1776,0.98381,23.0707,0.96312,0.000911,0.000911,0.000911
35,2154.83,1.38681,1.92653,1.35377,0.48178,0.33228,0.40335,0.24552,0.94312,1.56585,0.94614,0.000878,0.000878,0.000878
36,2214.46,1.39914,1.82884,1.33542,0.40658,0.36643,0.40676,0.25328,0.93434,2.13878,0.9299,0.000845,0.000845,0.000845
37,2273.27,1.4216,1.84679,1.38763,0.40026,0.40506,0.42019,0.2677,0.90974,3.64628,0.93064,0.000812,0.000812,0.000812
38,2334.02,1.39944,1.86142,1.35329,0.51051,0.31646,0.39254,0.24964,0.92361,3.74958,0.9226,0.000779,0.000779,0.000779
39,2394.71,1.33859,1.78127,1.32226,0.45781,0.34494,0.39033,0.2543,0.92496,2.53223,0.93029,0.000746,0.000746,0.000746
40,2456.03,1.37734,1.8373,1.35451,0.41508,0.3638,0.39776,0.24008,0.94915,2.0927,0.93318,0.000713,0.000713,0.000713
